Date,btc,xrp,eth,ada
16/06/2020,9454.266602,0.193064,229.762299,0.078381
17/06/2020,9533.78418,0.191496,234.492371,0.079085
18/06/2020,9481.567383,0.193455,232.898697,0.083445
19/06/2020,9410.293945,0.190924,231.954971,0.082139
20/06/2020,9290.959961,0.18679,226.976364,0.079603
21/06/2020,9330.926758,0.188468,229.216141,0.079318
22/06/2020,9300.915039,0.185665,229.003372,0.078472
23/06/2020,9644.076172,0.189295,242.537018,0.083412
24/06/2020,9632.149414,0.1887,244.185928,0.082992
25/06/2020,9314.126953,0.184076,235.70285,0.082616
26/06/2020,9260.995117,0.183472,232.877487,0.081732
27/06/2020,9167.824219,0.183096,229.631485,0.080558
28/06/2020,9048.460938,0.176872,222.91449,0.077679
29/06/2020,9140.029297,0.177648,225.361435,0.080392
30/06/2020,9185.581055,0.177701,227.96843,0.083848
01/07/2020,9145.985352,0.17575,226.134583,0.083112
02/07/2020,9231.139648,0.177155,231.28891,0.096897
03/07/2020,9124.842773,0.177265,229.318954,0.094318
04/07/2020,9084.233398,0.176262,225.288483,0.096652
05/07/2020,9126.09082,0.177914,228.976196,0.099965
06/07/2020,9072.849609,0.177017,227.685013,0.098211
07/07/2020,9349.161133,0.188567,240.972595,0.104957
08/07/2020,9253.020508,0.184814,239.159973,0.11749
09/07/2020,9427.994141,0.204598,246.748291,0.129908
10/07/2020,9273.357422,0.202842,242.868011,0.12423
11/07/2020,9277.511719,0.198724,241.044785,0.118349
12/07/2020,9241.054688,0.201217,239.459641,0.125341
13/07/2020,9277.205078,0.200538,242.18187,0.126783
14/07/2020,9238.703125,0.198495,239.975616,0.124269
15/07/2020,9241.897461,0.198774,240.143646,0.131996
16/07/2020,9191.980469,0.197021,238.450912,0.130397
17/07/2020,9131.8125,0.194051,233.691391,0.125964
18/07/2020,9151.183594,0.194349,232.855682,0.122307
19/07/2020,9158.005859,0.199404,235.458298,0.122484
20/07/2020,9187.220703,0.199142,238.494873,0.123723
21/07/2020,9162.514648,0.194871,236.302505,0.117904
22/07/2020,9375.080078,0.199029,245.037262,0.122981
23/07/2020,9527.141602,0.203331,262.388641,0.123967
24/07/2020,9585.514648,0.207814,274.722687,0.123918
25/07/2020,9539.485352,0.203959,279.026367,0.121925
26/07/2020,9680.234375,0.213994,303.692383,0.142971
27/07/2020,9905.217773,0.214948,309.657928,0.147891
28/07/2020,11017.46387,0.223889,321.829742,0.138762
29/07/2020,10912.95313,0.230148,316.555359,0.148647
30/07/2020,11099.83301,0.243254,318.144989,0.139968
31/07/2020,11110.21094,0.244649,334.633728,0.140673
01/08/2020,11322.57031,0.258904,345.798615,0.138798
